Instrumento,Monto total,Cantidad,Moneda
AAPL,719100,47,ARS
AAPL,15300,1,ARS
AAPL,214200,14,ARS
AAPL,642600,42,ARS
AAPL,122400,8,ARS
AAPL_E,1100.15,5,USDC
AAPL_E,1100.15,5,USDC
ABEV,36040,4,ARS
AE38,17305195.6,19046,ARS
AE38,5382546.4,5924,ARS
AL30,127032,158,ARS
AL30,804,1,ARS
AL30,804000,1000,ARS
AL30,308736,384,ARS
AL30,4040904,5026,ARS
AL35,2625.6,3,ARS
AL35,3143718.4,3592,ARS
AL35,5386856,6155,ARS
AMZN,1357540,659,ARS
AMZN,144200,70,ARS
AMZN,535600,260,ARS
AMZN,803400,390,ARS
AMZN,127720,62,ARS
AMZN,193640,94,ARS
AMZN,3087940,1499,ARS
ARC1O,1390000,1000,ARS
ARS,0.47,0.47,ARS
ARS,99.72,99.72,ARS
ARS,0.54,0.54,ARS
ARS,0.17,0.17,ARS
ARS,0.09,0.09,ARS
ARS,236.23,236.23,ARS
ARS,0.03,0.03,ARS
ARS,-4262.17,-4262.17,ARS
ARS,7039.01,7039.01,ARS
ARS,48281.89,48281.89,ARS
ARS,751.61,751.61,ARS
ARS,0.01,0.01,ARS
ARS,0.11,0.11,ARS
ARS,465.51,465.51,ARS
ARS,1039117.07,1039117.07,ARS
ARS,114.63,114.63,ARS
ARS,0.43,0.43,ARS
ARS,687.72,687.72,ARS
ARS,34567.24,34567.24,ARS
ARS,676913.91,676913.91,ARS
ARS,-0.6,-0.6,ARS
ARS,0.02,0.02,ARS
ARS,-503.86,-503.86,ARS
ARS,1043667.65,1043667.65,ARS
ARS,222.5,222.5,ARS
ARS,18703.3,18703.3,ARS
ARS,22444.47,22444.47,ARS
ARS,0.5,0.5,ARS
ARS,0.01,0.01,ARS
ARS,4049.55,4049.55,ARS
ARS,0.28,0.28,ARS
ARS,97128.64,97128.64,ARS
ARS,0.46,0.46,ARS
ARS,7102.86,7102.86,ARS
ARS,767.84,767.84,ARS
ARS,0.62,0.62,ARS
ARS,904,904,ARS
ARS,0.92,0.92,ARS
ARS,-2019.41,-2019.41,ARS
ARS,-1556.29,-1556.29,ARS
ARS,22307.79,22307.79,ARS
ARS,7269.73,7269.73,ARS
ARS,-1079.87,-1079.87,ARS
ARS,10944.19,10944.19,ARS
ARS,437.18,437.18,ARS
ARS,625.05,625.05,ARS
ARS,0.79,0.79,ARS
ARS,244121.19,244121.19,ARS
ARS,-0.23,-0.23,ARS
ARS,-4631.22,-4631.22,ARS
ARS,1085.52,1085.52,ARS
ARS,-4621.57,-4621.57,ARS
ARS,-142.97,-142.97,ARS
ARS,-40.29,-40.29,ARS
ARS,0.74,0.74,ARS
ARS,15940.84,15940.84,ARS
ARS,1632.5,1632.5,ARS
ARS,21698.32,21698.32,ARS
ARS,51.28,51.28,ARS
ARS,1733.16,1733.16,ARS
ARS,-3514.6,-3514.6,ARS
ARS,0.01,0.01,ARS
ARS,6920227.66,6920227.66,ARS
ARS,-1214.4,-1214.4,ARS
ARS,606951.13,606951.13,ARS
ARS,0.79,0.79,ARS
ARS,606.72,606.72,ARS
ARS,1115.03,1115.03,ARS
ARS,93959.49,93959.49,ARS
ARS,815090.65,815090.65,ARS
ARS,15044.82,15044.82,ARS
ARS,15017.09,15017.09,ARS
ARS,-3.05,-3.05,ARS
ARS,-341.85,-341.85,ARS
ARS,-2510.96,-2510.96,ARS
ARS,0.02,0.02,ARS
ARS,0.27,0.27,ARS
ARS,-282.37,-282.37,ARS
ARS,4611.96,4611.96,ARS
ARS,1317.31,1317.31,ARS
ARS,20682.58,20682.58,ARS
ARS,-3138.84,-3138.84,ARS
ARS,5228.67,5228.67,ARS
ARS,-77.15,-77.15,ARS
ARS,4374.13,4374.13,ARS
ARS,0.14,0.14,ARS
ARS,704.43,704.43,ARS
ARS,0.59,0.59,ARS
ARS,693.98,693.98,ARS
ARS,612.46,612.46,ARS
ARS,356.78,356.78,ARS
ARS,0.01,0.01,ARS
ARS,0.42,0.42,ARS
ARS,18016.41,18016.41,ARS
ARS,1471.43,1471.43,ARS
ARS,0.8,0.8,ARS
ARS,4770,4770,ARS
ARS,835799.43,835799.43,ARS
ARS,0.4,0.4,ARS
ARS,754.38,754.38,ARS
ARS,15400.5,15400.5,ARS
ARS,11047.18,11047.18,ARS
ARS,-682.15,-682.15,ARS
ARS,0.58,0.58,ARS
ARS,0.53,0.53,ARS
ARS,0.89,0.89,ARS
ARS,608.87,608.87,ARS
ARS,36499.64,36499.64,ARS
ARS,-625.89,-625.89,ARS
ARS,377645.8,377645.8,ARS
ARS,30943.69,30943.69,ARS
ARS,75.36,75.36,ARS
ARS,8102.2,8102.2,ARS
ARS,164401.66,164401.66,ARS
ARS,1530.02,1530.02,ARS
ARS,0.48,0.48,ARS
ARS,524.84,524.84,ARS
ARS,2314.31,2314.31,ARS
ARS,3747.32,3747.32,ARS
ARS,-658674466.27,-658674466.27,ARS
ARS,29030.21,29030.21,ARS
ARS,23398.75,23398.75,ARS
ARS,1105.12,1105.12,ARS
ARS,-6487.68,-6487.68,ARS
ARS,15936.81,15936.81,ARS
ARS,11253.44,11253.44,ARS
ARS,4881.71,4881.71,ARS
ASML,165000,25,ARS
ASML,99000,15,ARS
Alamerica rf,7706900.85,6367.2055,ARS
Alamerica rf,9938674.43,8211.0285,ARS
Alamerica rf,36285867.05,29978.2723,ARS
Alamerica rf,638929.15,527.8637,ARS
Alamerica rf,78675285.41,64999.1118,ARS
Alamerica rf,2098646.89,1733.8378,ARS
Alamerica rf,2524306.7,2085.5049,ARS
Alamerica rf,5362114.85,4430.0151,ARS
Alamerica rf,10266725.2,8482.054,ARS
Alamerica rf,534785.98,441.8238,ARS
Alamerica rf,3123675.19,2580.6848,ARS
Alamerica rf,1134232.91,937.0685,ARS
Alamerica rf,2185968.45,1805.9802,ARS
Alamerica rf,5740150.52,4742.3366,ARS
Alamerica rf,5237621,4327.1621,ARS
Alamerica rf,2315725.01,1913.1811,ARS
Alamerica rf,833754533.78,688822.4666,ARS
Alamerica rf,1175587.99,971.2348,ARS
Alamerica rf,3072764.69,2538.6241,ARS
Alamerica rf,4670047.8,3858.2505,ARS
Alamerica rf,21857873.13,18058.3055,ARS
Alamerica rf,8864054.36,7323.2103,ARS
Alamerica rf,6581859.88,5437.7311,ARS
Alamerica rf,9783366.94,8082.7182,ARS
Alamerica rf,109023.29,90.0717,ARS
Alamerica rf,880743.97,727.6437,ARS
Alamerica rf,1189340.25,982.5965,ARS
Alamerica rf,67786730.94,56003.3215,ARS
Alamerica rf,16498356.54,13630.437,ARS
Alamerica rf,120538149.51,99584.9283,ARS
Alamerica rf,1117506334.75,923249.5162,ARS
Alamerica rf,2159713.3,1784.289,ARS
Alamerica rf,226416840.82,187058.6611,ARS
Alamerica rf,5734061.33,4737.3059,ARS
Alamerica rf,89843733.81,74226.1419,ARS
Alamerica rf,132711189.62,109641.9213,ARS
Alamerica rf,128713300.1,106338.9874,ARS
Alamerica rf,55249915.19,45645.7882,ARS
Alamerica rf,608963.5,503.107,ARS
Alamerica rf,4565343.85,3771.7473,ARS
Alamerica rf,1038.41,0.8579,ARS
Alamerica rf,1124034.4,928.6428,ARS
Alamerica rf,2211181.8,1826.8107,ARS
Alamerica rf,27572461.34,22779.5233,ARS
Alamerica rf,25757963.44,21280.4407,ARS
Alamerica rf,279170342.14,230641.9886,ARS
Alamerica rf,11592393.55,9577.2806,ARS
Alamerica rf,9033845.82,7463.4868,ARS
Alamerica rf,8110008.62,6700.2408,ARS
Alamerica rf,7619123.69,6294.6867,ARS
Alamerica rf,15011707.03,12402.2127,ARS
Alamerica rf,42820975.5,35377.3788,ARS
Alamerica rf,50548397.69,41761.5384,ARS
Alamerica rf,1520328.43,1256.0488,ARS
Alamerica rf,2206503.34,1822.9455,ARS
Alamerica rf,4808648.68,3972.7583,ARS
Alamerica rf,1006668.03,831.6783,ARS
Alamerica rf,608687.17,502.8787,ARS
Alamerica rf,87677.06,72.4361,ARS
Alamerica rf,412373.43,340.6903,ARS
Alamerica rf,43053503.12,35569.486,ARS
Alamerica rf,22515327.05,18601.4738,ARS
Alamerica rf,963428.83,795.9554,ARS
Alamerica rf,1239020.26,1023.6406,ARS
Alamerica rf,55169534.09,45579.3798,ARS
Alamerica rf,3913326.46,3233.0705,ARS
Alamerica rf,2615638.69,2160.9606,ARS
Alamerica rf,30889518.18,25519.9741,ARS
Alamerica rf,1424203.23,1176.6331,ARS
Alamerica rf,216258193.34,178665.8976,ARS
Alamerica rf,109365.47,90.3544,ARS
Alamerica rf,9993917.59,8256.6687,ARS
Alamerica rf,414094915.65,342112.5399,ARS
Alamerica rf,1256534.59,1038.1104,ARS
Alamerica rf,4824214.01,3985.6179,ARS
Alamerica rf,6145525.63,5077.2451,ARS
Alamerica rf,12129053.36,10020.6525,ARS
Alamerica rf,3624273.15,2994.2635,ARS
Alamerica rf,1635.5,1.3512,ARS
Alamerica rf,666256449.03,550440.6777,ARS
Alamerica rf,500186.9,413.2391,ARS
Alamerica rf,3398783.19,2807.9706,ARS
Alamerica rf,4286554.53,3541.4201,ARS
Alamerica rf,3040656.99,2512.0977,ARS
Alamerica rf,38250635.95,31601.5042,ARS
BABA_E,1451.52,12,USDC
BABA_E,1451.52,12,USDC
BBAR,2152080,294,ARS
BBAR,124440,17,ARS
BBD,853005,219,ARS
BIL_E,1098120,12000,USDC
BPOC7,6184100,4757,ARS
BPOC7,3485300,2681,ARS
BPOC7,10167300,7821,ARS
BPOC7,5200000,4000,ARS
BPOC7,13666900,10513,ARS
BPOC7,13327600,10252,ARS
BPOC7,1472900,1133,ARS
BPOD7,5133.2,4,ARS
BRFS,14225,1,ARS
BRKB,1298350,46,ARS
BRKB,620950,22,ARS
BRKB,762075,27,ARS
BRKB,649175,23,ARS
BRKB,2653150,94,ARS
BRKB,987875,35,ARS
BRKB,733850,26,ARS
BRKB,508050,18,ARS
BRKB,2286225,81,ARS
BRKB,28225,1,ARS
BRKB,141125,5,ARS
BRKB,1129000,40,ARS
BRKB,197575,7,ARS
BRKB,1270125,45,ARS
BRKB,1834625,65,ARS
BRKB,197575,7,ARS
BRKB,3217650,114,ARS
BRKB,1044325,37,ARS
BRKB,1241900,44,ARS
BRKB,197575,7,ARS
BRKB,5052275,179,ARS
BRKB,423375,15,ARS
BRKB,1129000,40,ARS
BRKB,1580600,56,ARS
BRKB,141125,5,ARS
BRKB,1157225,41,ARS
BRKB,5278075,187,ARS
BRKB,536275,19,ARS
BRKB,254025,9,ARS
BRKB,1072550,38,ARS
BRKB,5278075,187,ARS
BRKB,1044325,37,ARS
BRKB_E,1384.41,3,USDC
BRKB_E,1384.41,3,USDC
BYCHO,8517600,6000,ARS
BYCHO,32934720,23200,ARS
BYCUO,2897500,2500,ARS
BYCUO,6954000,6000,ARS
BYCUO,7185800,6200,ARS
BYCUO,9272000,8000,ARS
BYCUO,11590000,10000,ARS
BYCUO,5795000,5000,ARS
BYCUO,5215500,4500,ARS
BYCUO,8692500,7500,ARS
BYCUO,9272000,8000,ARS
BYCUO,3477000,3000,ARS
BYCUO,15067000,13000,ARS
BYCUO,5795000,5000,ARS
CEPU,700150,418,ARS
CEPU,391950,234,ARS
CEPU,2097100,1252,ARS
CEPU,1053575,629,ARS
CEPU,1864275,1113,ARS
CEPU,814050,486,ARS
CEPU,1329950,794,ARS
CEPU,737000,440,ARS
CEPU,1891075,1129,ARS
CEPU,2147350,1282,ARS
CEPU,303175,181,ARS
CEPU,673350,402,ARS
CEPU,3736925,2231,ARS
CEPU,644875,385,ARS
CEPU,621425,371,ARS
CEPU,9271125,5535,ARS
CEPU,1284725,767,ARS
CEPU,137350,82,ARS
CEPU,448900,268,ARS
CEPU,447225,267,ARS
CEPU,527625,315,ARS
CRCJO,33839947,128669,ARS
CRCLO,321860,847,ARS
CRCLO,1242220,3269,ARS
CRES,987410,674,ARS
CRES,575745,393,ARS
CRES,1554365,1061,ARS
CRES,1262830,862,ARS
CS44O,1153240,880,ARS
CS44O,13105000,10000,ARS
CS44O,2580374.5,1969,ARS
CS44O,6977102,5324,ARS
CS44O,2244886.5,1713,ARS
CS47O,5826816,4320,ARS
CS47O,7373889.6,5467,ARS
CS47O,6119505.6,4537,ARS
CS47O,14857032,11015,ARS
CS47O,14248723.2,10564,ARS
CS47O,10272460.8,7616,ARS
CS47O,3587808,2660,ARS
CS47O,15352041.6,11382,ARS
CS47O,9742382.4,7223,ARS
CS47O,6977342.4,5173,ARS
CS47O,9430809.6,6992,ARS
CS47O,6978691.2,5174,ARS
CS47O,13956033.6,10347,ARS
CS47O,13983009.6,10367,ARS
CS47O,14337744,10630,ARS
CS47O,25192886.4,18678,ARS
CS47O,25791753.6,19122,ARS
CS47O,311572.8,231,ARS
CS47O,8227680,6100,ARS
CS47O,14076076.8,10436,ARS
CS47O,7356355.2,5454,ARS
CS47O,6978691.2,5174,ARS
CS47O,7491235.2,5554,ARS
CS47O,8350420.8,6191,ARS
CS47O,1007553.6,747,ARS
CS47O,3980308.8,2951,ARS
CS47O,6977342.4,5173,ARS
DIA,29450,1,ARS
DNC5O,6373382.6,4687,ARS
DRSAO,3662750,10465,ARS
Dolar Gestion A,20004.13,19900.2111,USD
Dolar Gestion A,108038.6,107477.3563,USD
Dolar Gestion A,554.61,551.7295,USD
Dolar Gestion A,2988.23,2972.7086,USD
Dolar Gestion A,16185,16100.9209,USD
Dolar Gestion A,11757.77,11696.6887,USD
Dolar Gestion A,39054.26,38851.376,USD
Dolar Gestion A,1003.57,998.3517,USD
Dolar Gestion A,741,737.148,USD
Dolar Gestion A,16129,16045.2143,USD
Dolar Gestion A,3226.11,3209.3466,USD
Dolar Gestion A,124523.19,123876.3102,USD
Dolar Gestion A,5571.35,5542.4107,USD
Dolar Gestion A,6023.34,5992.0452,USD
Dolar Gestion A,1259.47,1252.9314,USD
Dolar Gestion A,61513.98,61194.4204,USD
Dolar Gestion A,55044.18,54758.2328,USD
Dolar Gestion A,11790.45,11729.2009,USD
Dolar Gestion A,31931.57,31765.6936,USD
Dolar Gestion A,3013.68,2998.0213,USD
Dolar Gestion A,48738.69,48485.4982,USD
Dolar Gestion A,1100.52,1094.8021,USD
Dolar Gestion A,14063.83,13990.766,USD
Dolar Gestion A,29689.25,29535.0219,USD
Dolar Gestion A,23665.12,23542.1796,USD
Dolar Gestion A,7309.55,7271.5763,USD
Dolar Gestion A,303.26,301.6837,USD
Dolar Gestion A,2198.06,2186.6457,USD
Dolar Gestion A,22604.94,22487.5149,USD
Dolar Gestion A,822.63,818.3602,USD
Dolar Gestion A,1261.16,1254.608,USD
Dolar Gestion A,46628.74,46386.5137,USD
Dolar Gestion A,4448.6,4425.4935,USD
Dolar Gestion A,1865.32,1855.6295,USD
Dolar Gestion A,5462.67,5434.2938,USD
Dolar Gestion A,5602.39,5573.2839,USD
EWZ,204325,11,ARS
EWZ,1504575,81,ARS
EWZ,92875,5,ARS
EWZ,55725,3,ARS
EWZ,167175,9,ARS
GD30,166600,200,ARS
GD30,83300,100,ARS
GD30,6664,8,ARS
GD35,8138660,9160,ARS
GGAL,962760,142,ARS
GGAL,1037340,153,ARS
GGAL,27120,4,ARS
GGAL,74580,11,ARS
GGAL,1403460,207,ARS
GGAL,786480,116,ARS
GGAL,1281420,189,ARS
GGAL,1620420,239,ARS
GGAL,9824220,1449,ARS
GGAL,298320,44,ARS
GGAL,1071240,158,ARS
GGAL,1437360,212,ARS
GGAL,5295180,781,ARS
GGAL,562740,83,ARS
GGAL,4461240,658,ARS
GGAL,1186500,175,ARS
GGAL,2230620,329,ARS
GGAL,122040,18,ARS
GGAL,427140,63,ARS
GGAL,928860,137,ARS
GGAL,2576400,380,ARS
GGAL,610200,90,ARS
GGAL,630540,93,ARS
GLD,334400,40,ARS
GLD,1738880,208,ARS
GLD,41800,5,ARS
GLD,2048200,245,ARS
GLD,225720,27,ARS
GLD,2508000,300,ARS
GLD,1245640,149,ARS
GLD,1212200,145,ARS
GLD,300960,36,ARS
GLD,635360,76,ARS
GLOB,2129050,385,ARS
GLOB,1841490,333,ARS
GN47O,7540093.5,5893,ARS
GOOGL,692250,150,ARS
GOOGL,78455,17,ARS
GOOGL,576875,125,ARS
GOOGL,1116830,242,ARS
GOOGL,1416805,307,ARS
GOOGL,230750,50,ARS
GOOGL,115375,25,ARS
GOOGL,1462955,317,ARS
GOOGL,332280,72,ARS
GOOGL,987610,214,ARS
GOOGL,1084525,235,ARS
GOOGL,244595,53,ARS
GOOGL,36920,8,ARS
GOOGL,156910,34,ARS
GOOGL,923000,200,ARS
GOOGL,724555,157,ARS
GOOGL,5136495,1113,ARS
GOOGL,203060,44,ARS
GOOGL,184600,40,ARS
GOOGL,50765,11,ARS
GOOGL,641485,139,ARS
HARG,252170,151,ARS
HARG,202070,121,ARS
IEUR,112420,14,ARS
IRCFO,6477452.8,6968,ARS
IRCIO,3399750,2500,ARS
IRCIO,673150.5,495,ARS
IRCJO,9695000,7000,ARS
IRCJO,13988500,10100,ARS
IRCJO,227140,164,ARS
IRCJO,6786500,4900,ARS
IRCJO,8310000,6000,ARS
IRCJO,9695,7,ARS
IRCJO,1275585,921,ARS
IRCNO,5774036.1,4431,ARS
IRCNO,6696630.9,5139,ARS
IRCOO,6743213.4,5033,ARS
IRCOO,20489561.4,15293,ARS
IRCOO,13979473.2,10434,ARS
IRCOO,6739194,5030,ARS
IRCOO,3349500,2500,ARS
IRCOO,7190706.6,5367,ARS
IRCOO,14692246.8,10966,ARS
IRCOO,455532,340,ARS
IRCOO,8046838.8,6006,ARS
IRCOO,6175138.2,4609,ARS
IRCOO,5528014.8,4126,ARS
IRCOO,8080333.8,6031,ARS
IRCOO,6203274,4630,ARS
IRCOO,6814222.8,5086,ARS
IRCOO,11618745.6,8672,ARS
IRCOO,1568905.8,1171,ARS
IRCOO,8139285,6075,ARS
IRCOO,14737800,11000,ARS
IRCOO,1674750,1250,ARS
IRCOO,1325062.2,989,ARS
IRCOO,6518127,4865,ARS
IRCOO,991452,740,ARS
IRCOO,3980545.8,2971,ARS
IRCOO,1290227.4,963,ARS
IRCOO,3299927.4,2463,ARS
IRCOO,2541600.6,1897,ARS
IRSA,1788930,858,ARS
IRSA,2581230,1238,ARS
IRSA,1795185,861,ARS
